date,roll_yield,near_by,deferred
2019-03-18,0.1776479677394162,TA905,TA909
2019-03-19,0.16717144095498615,TA905,TA909
2019-03-20,0.17554568496758996,TA905,TA909
2019-03-21,0.18807911355683343,TA905,TA909
2019-03-22,0.18376065796432864,TA905,TA909
2019-03-25,0.21625718031886226,TA905,TA909
2019-03-26,0.21762098400407665,TA905,TA909
2019-03-27,0.21069881109338323,TA905,TA909
2019-03-28,0.23808800053464257,TA905,TA909
2019-03-29,0.2711147856152807,TA905,TA909
2019-04-01,0.24448775513129417,TA905,TA909
2019-04-02,0.21271794395365273,TA905,TA909
2019-04-03,0.1918638846708669,TA905,TA909
2019-04-04,0.20992895070913276,TA905,TA909
2019-04-08,0.16890013406559773,TA905,TA909
2019-04-09,0.14773941792561507,TA905,TA909
2019-04-10,0.10841713984761941,TA905,TA909
2019-04-11,0.11293914163910583,TA905,TA909
2019-04-12,0.11936809765539434,TA905,TA909
2019-04-15,0.11977453347216731,TA905,TA909
2019-04-16,0.13775336211656047,TA905,TA909
2019-04-17,0.15863952242852858,TA905,TA909
2019-04-18,-0.006616685680911132,TA001,TA909
2019-04-19,-0.005554892000020614,TA001,TA909
2019-04-22,-0.005939059366897143,TA001,TA909
2019-04-23,-0.006131284064404915,TA001,TA909
2019-04-24,-0.006448889792783593,TA001,TA909
2019-04-25,-0.00590283491985541,TA001,TA909
2019-04-26,-0.006004901566215564,TA001,TA909
2019-04-29,-0.006479937673942362,TA001,TA909
2019-04-30,-0.006598110814689316,TA001,TA909
2019-05-06,-0.00638659776920752,TA001,TA909
2019-05-07,-0.006943980024497408,TA001,TA909
2019-05-08,-0.007323283362608189,TA001,TA909
2019-05-09,-0.007358451908200021,TA001,TA909
